Year,"males 2021
dollars","females 2021 
dollars",,,,
2021,"45,923","30,937",,,,
2020,"44,691","30,785",,,,
2019,"46,957","31,164",,,,
2018,"44,901","29,217",,,,
2017,"44,647","28,623",,,,
2017,"44,648","28,169",,,,
2016,"43,884","28,104",,,,
2015,"42,471","27,182",,,,
2014,"41,586","25,477",,,,
2013,"41,508","25,776",,,,
2013,"41,039","25,703",,,,
2012,"40,082","25,441",,,,
2011,"39,823","25,476",,,,
2010,"40,105","25,871",,,,
2009,"40,741","26,529",,,,
2008,"41,831","26,323",,,,
2007,"43,484","27,406",,,,
2006,"43,463","26,960",,,,
2005,"43,495","25,834",,,,
2004,"43,877","25,402",,,,
2003,"44,199","25,486",,,,
2002,"44,156","25,390",,,,
2001,"44,642","25,486",,,,
2000,"44,717","25,343",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
